17a-dihydroequilin	17a-dihydroéquiline
to be bound by	etre tenu par
to be life-threatening	mettre en jeu le pronostic vita
to be life-threatening	mettre la vie en danger
to bump	heurter
to cause	provoquer
to circumduct or semicircular spastic gait	fauchage
to clot	se coaguler
to cough up	expectorer
to cure the abnormal rhythm	guérir les troubles du rythme
toddlerhood	petite enfance
to deliver a shock	délivrer un choc
to deslough	enlever les escarres
to detail products	promotion directe de produits
to drop out	abandonner un traitement
Toe-nail growing in	Onglade
Toe	Orteil
to inactivate	désactiver
tolerance dose	dose tolérée
tonsillectomy	ablation des végétations
tonsillitis	adénoïdite
tonsillitis	amygdalite
tonsillitis	amygdalites
tonsillitis	angine
tonsils	végétations adénoïdes
too fast	trop vite
too low heart rate	pouls trop lent
too rapid heart rate	pouls trop rapide
to pass through the AV node	traverser le noeud auriculo-ventriculaire
Topical corticosteroid	Corticostéroïde topique
Topical treatment	Traitement topique
to promote	favoriser
to range from...to...	aller de... à...
to recover	guérir
to relieve	apaiser
torquer	coupleur
torque wrench	clé dynamométrique
Torsion of the testicle	Torsion du testicule
to screen	discriminer
to sedate	sedationner
to spike	faire un clocher
to stage	déterminer les stades d'une maladie
to suction	aspirer
to synchronize	synchroniser
Total hip prosthesis	THP
total interruption of transmission	arrêt de la conduction
Total lung capacity	TLC
Total radical hysterectomy	TRH
total viable microbial count	numération microbienne totale viable
to tame	apprivoiser
to tissue type	faire un typage sérologique
to trigger	déclencher
to trigger off	déclencher
towing dolly	remorqueur
to wipe gross exposure matter	éliminer les souillures
traceability	traçabilité
Tracer disease method	Méthode des maladies indicatrices
trachea is midline	Trachée en position médiane
tracheal cartilage	cartilage de la trachée
tracing	tracé
tracks up and down	diffuse en amont et en aval
tract	système
training	formation
trait anxiety with depressive tendencies	angoisse constitutionnelle à tendance dépressive
tranquillizer	calmant
transcient ischemic attack	accident ischémique transitoire
Transcutaneous Nerve Stimulation	neurostimulation transcutanée
transdermal patch	timbre transderrmique
Transdermal	Transdermique
trans-fatty acid	acides gras trans
Transient ischemic attack	TIA
transient self limiting pyrexia	fièvre transitoire spontanément résolutive
transitional cell neoplasms	carcinomes à cellules transitionnelles
transmetallation	transmétallation
Transmission of infection	Transmission de l'infection
Transovarial transmission	Transmission transovarienne
Transport host	Hôte intermédiaire d'un parasite
trans-septal catheterisation	cathétérisme trans-septal
transthoracic echo	examen trans-thoracique
transverse lie	malposition transverse
transverse sinus of pericardum	sinus de Theile
travel assistance provider	assisteur
treated	trates
treatment approach	approche thérapeutique
treatment as and when needed	traitement ponctuel
treatment-emergent variants	variants émergeant en cours de traitement
Treatment form	Feuille de soins
treatment of constipation-dominant irritable bowel syndrom	traitement du syndrome du côlon irritable avec constipation prédominante
treatment plan proposal	proposition de traitement aux fécondostimulants
Treatment Resistant Major Depressive Disorder	Trouble dépressif majeur pharmacorésistant
tremor	tremblement
Trend line	Droite de tendance
Trend	Tendance
Trial	Essai
trial of drug therapy	essai des médicaments
tricyclic antidepressants	antidépresseurs tricycliques
tried and tested	ayant de l'expérience
trigger	la gachette
Trimetobenzamide HCl	chlorhydrate de triméthobenzamide
trinexapac-ethyl	Trinexapac-éthyle
trisodium citrate	citrate trisodique
Trombidium	Trombidion
trough FEV1	VEMS résiduel
tubules with flattened epithelium	tubes à épithélium aplati
tularemia	tularémie
tumefaction	tuméfaction
tumoral lesion	atteinte tumorale
tumors	tumeurs
tumor	tumeur
tumour cell	cellule tumorale
tumour nocrosis factor	facteur nécrosant des tumeurs
tumour	tumeur
tunnel of Corti	canal de Corti
Turn of duty	Tour
Tutorial benefits	Prestations pour enseignement individuel
T wave	onde T
twice a day	deux fois par jour
Twin pairs	Paires de jumeaux
Twin study	Etude de jumeaux
twitching	secousse musculaie elementaire
Two-tail test	Test de signification bilatéral
type 1 diabetes	diabète type 1
type examination	examen de type
Type I error	Erreur de première espèce
Type II error	Erreur de deuxième espèce
typical pattern	aspect particulier
typology	typologie
Tyson's gland	glande de Tyson
UA negative	Examen des urines négatif
ulcerative colitis	colite ulcéreuse
ulcers of stomach or bowels	ulcères de lestomac ou des intestins
Ulcer	Ulcère
Ulcus venereum	Ulcus venereum
ulna	cubitus
ulnar	cubital
ultasound	echographie
umbilical hernia	hernie ombilicale
u-MRI	C'est le U de ultrasounds
unattained GP	potentiel de croissance non atteint
Unbiassed estimator	Estimateur non biaisé
unconditional and conditional schemas	scémas inconditionnels et conditionnels
Uncontrolled variable	Variable incontrôlée
Underestimation	Sous-estimation
undergraduate and postgraduate programmes	programmes de formation pré-doctorants et post-doctorants
Underlying cause of death	Cause sous-jacente du décès Cause initiale du décès
underlying	le lit de la plaie
Underreporting	Sous-déclaration
undersigned	soussignes
undo	dėfaire
UNGASS - United Nations General Assembly Special Session on Children	Session extraordinaire de l'Assemblée générale des Nations Unies consacrée aux enfants
Unit dose blister strip	bande alvéolée thermoformée
unit dose delivery	délivrance à l'unité
United States	Etats-Unis
Unité Générale - General hospital unit	UG
University Medical Center	UMC
unremarkable	sp.
unscheduled drug product	produit pharmaceutique en vente libre
unset	non défini
unstable angina	angor instable
upper limbs	membres supérieurs
upper lobe branch of the right pulmonary artery	médiastinale
upper tooth	dent supérieur
upward deflection	déflexion vers le haut
upward	vers le haut
Urea	Urée
Uremic frost	Givre urémique
urgency	besoin impérieux
urgent care	turbulence medicale
uric acid	acide urique
urinalysis	examen des urines
Urinary albumin excretion	UAE
urinary infection	infection urinaire
urinary tract infection	infection de tract urinaire
Urinary tract obstruction	Obstruction des voies urinaires
urine culture	ECBU
urine dipstick	bandelette urinaire
Urine microscopy and culture	UMC
Urticaria	Urticaire
used in breeding	utilisés à des fins de reproduction
user fees	frais dutilisateur
user friendly	convivial
using a basket forceps	à la pince
uterine fibroids	fibromes utérin
uterine fibroids	fibromes utérins
uterine fibrosis	fibrome uterine
uterine tissue	endomètre
Utility	Utilité
UV rays	Rayons UV
Vaccination	Vaccination
Vaccine	Vaccin
Vacuole	Vacuole
vaginal bleeding of unknown cause	saignements vaginaux non diagnostiqués
vaginal candidiasis	candidose vaginale
vaginal delivery	accouchement par voie basse
vaginal flora	flore vaginale
vaginal yeast	mycose vaginale
Validation	Validation
Validity	Validité
value of micro-dialysis	intérêt de la micro-dialyse
valvular defect	affection valvulaire
valvular disease	valvulopathies
Vanishing cream	Crème évanescente
Variable	Variable
Variance	Variance
Variate	Variable aléatoire
Varicosa eczema	Eczéma variqueux
varicose veins	varices
Variola	Variole
Vascular insufficiency	Insuffisance vasculaire
vascular prosthesis	prothèse vasculaire
vascular puncture	ponction
Vascular system	Système vasculaire
vascular tree	arbre vasculaire
Vascular	Vasculaire
Vasculitis	Angéite
vaseline > wsp > pet.	vas.
Vasodilating	Vasodilatateur
vasoregulation	régulation vasculaire
Vector-borne infection	Infection transmise par vecteur
Vector space	Espace vectoriel
Vector	Vecteur
vehicle-controlled study	contrôlé par excipient
Vehicle of infection transmission	Véhicule de transmission de l'infection
vein dissection	déchirement de la paroi de la veine
vein-lifting device	souleve-veine
Venereal disease	Maladie vénérienne
Venereal wart	Condylome
Venn diagram	Diagramme de Venn
venous catheterisation	cathétérisme veineux
venous plexus	réseau veineux
ventilatory weaning	la sevrage ventilatoire
ventral horn cell	cellule de la corne antérieure
ventricle	ventricule
ventricular fibrillation	fibrillation ventriculaire
ventricular sensing	l'écoute du ventricule
ventricular shunt	dérivation ventriculaire
ventricular tachycardias	tachycardies ventriculaires
ventricular wall	cloison du ventricule
ventrogluteal and dorsogluteal	quadrant antéro-externe et quadrant supéro-externe du muscle fessier
verification	vérification
vertebral body	corps vertébral
vertigo	vertige
very superficial	très superficiel
Vesicle	Vésicule
Vesicoureteral reflux	Reflux vésico-urétéral
vicryl	vicryl
Viral hepatitis	Hépatite virale
Virgin population	Population vierge
Virulence	Virulence
visceral cavity	cavité splanchnique
visceral fascia	aponévrose viscérale
visceral pericardium	feuillet viscéral du péricarde
viscous work of breathing	résistance visqueuse
vision training	Rééducation de loeil
visual field	champ visuel
Vital records	Registres de l'état civil
vitamin B12 deficiency	carence en vitamine B12
Vitiligo	Vitiligo
VlsE1 IgG + pepC10 IgM	Ci-dessous
Volatile	Volatile
walk	démarche
walker	déambulateur
wall	cloison
wall	paroi
warn	mettre au clair
warrant	mandat
warts	verrue
Wart	Verrue
wash out effect	perte de contraste par surluminosité
waste	déchets
wasting paralysis	atrophie musculaire progressive
water balance	bilan hydrique
water-soluble	hydrosoluble
watertight circular anastomosis	Anastomose circulaire bien étache
waveform	signal
wax in ears	cire
weaning	sevrage
Webbed penis	Verge palmée
wedge biopsy	biopsie en coin
wedge-like formation	curiéiformisation
wedge-shaped fractures of the spine	tassements vertébraux cunéiformes
weeping dermatitis	dermatose suintante
weeping dermatitis	eczéma suintant
weight-bearing cartilage	cartilage porteur
Weighted average	Moyenne pondérée
weighted fit	ajustement pondéré
weighted retractor	valve à poids
weight	poids
Weight	Poids
wheat grass	agopyre
wheelchair	fauteuil roulant
wheezing	sifflement respiratoire
when the leg is dependent	jambe pendante OU en position déclive
when there are no episodes of bleeding	à distance de
which are not large enough to be flare-ups	qui n'ont absolument pas l'ampleur d'un flare-up
while being of critical importance	Pour être déterminantes
White blood cells	WBC
white cell	globule blanc
White cell pellet	La coloration  des culots leucocytaires ...
white collagenous fibrocartilage	cartilage fibreux collagène
white discharge	perte blanche
Whitlow	Panaris
who initially transmitted a message of solution	qui ont fait savoir tout de suite que le problème était résolu
whooping cough	coqueluche
whooping cough	Coqueluche
WHO - World Health Organization	OMS - Organisation mondiale de la Santé
WHO  World Health Organization	OMS  Organisation mondiale de la santé
wide-bore	grand calibre
wildly racing	cadence effrénée
windpipe	trachee
wire	fil
wishes	volontés
with an INR between 2.5 and 3.5	avec un INR entre 2.5 et 3.5.
with a rapid heart rate	battent rapidement
with a safety margin of	avec sécurité à
with correction of haematological disorders when the medication is stopped	avec correction des troubles hématologiques à la suppression du médicament
Withdrawn alive	Exclus vivants
without radicular involvement	sans conflit ostéoradiculaire
with respect to that portion of the sentence that exceeds the period of detention already served	pour de ce qui dépasse la détention déjà subie
worker's compensation	l'assurance maladie-invalidité
worksheet	feuille
work shift	poste
workup	bilan
World Health Authorities	autorités sanitaires internationales
world wide	au niveau mondial
Worm count	Décompte des vers
Worm	Ver
Wormwood	Absinthe
wound	plaie
Wrinkle	Ride
Wrisberg's cartilage	cartilage de Morgagni
Xenobiotic	Xénobiotique
Xenodiagnosis	Xénodiagnostic
X has expanded the scope of its information campaigns	x a élargi le registre de ses actions dinformation
Yates' correction	Correction de Yates
yawning	baillement
yeast	mycose vaginal
yellow elastic fibrocartilage	cartilage fibreux élastique
Yellow fever	fièvre jaune
Zeis' gland	glande de Zeis
Zero-time shift	Déplacement du temps zéro
zinc citrate	citrate de zinc
Zoonosis	Zoonose
ZZZ™ wafers	implants ZZZ™
AAA	AAA
ABDOMINAL PAIN	douleur abdominale
ACR	ACR
ADL	AVQ
AIBD	arthropathies des MICI
AI	IA
A LUMP	UNE GROSSEUR
AP	antéro-postérieur
B12	B12
BACKACHE	MAL DE REINS
BID	bi-quotidien
BNCT	BNCT
CAE	CAE
CAV	CAV
CAVE	CAVE
CBC	FSC
CB	PC
CDAI	CDAI
CERVIX	COL D'UTERUS
CEV	CEV
CHEST PAIN	DOULEUR DE POITRINE
COMP	COMP
COUGH	TOUX
COX-1	COX-1
COX-2	COX-2
CPT-11	CPT-11
DIARRHEA	DIARRHEE
DIZZY	VERTIGE
DL-....	Acide DL-aspartique
DREZ	DREZ
DSA	ASD - Angiogrphie par soustraction digitale
EXCESS SWEATING	TRANSPIRATION EXCESSIVE
EXTENDED ROD CONTOURING LINKAGE	appareil de contournage de tringle et méthode d'extension
FATIGUE	FATIGUE
FEVER	FIEVRE
FLANK PAIN	DOULEUR AU FLANC
FLUSHING	ROUGEURS
GGT	GGT
HEADACHE	MAL DE TETE
HIDE	CACHE
HIV	VIH virus de l'imune deficience humain
ICHPPC	CIPSSPL
ICU	station de soins intensifs
ID	diamètre intérieur
IDDM	DID
IMC  BMI	MC
ITCHING	DEMANGEAISON
JAUNDICE	JAUNISSE
LAD	IVA
LEG PAIN	DOULEUR DANS LA JAMBE
LMWH	HBPM
LOSS OF CONSCIOUSNESS	PERTE DE CONSCIENCE
MD	docteur en médecine
MSDS	FDS
N	azote
NSAID	AINS
NST	TNS
NUMBNESS AND TINGLING	ENGOURDISSEMENT ET FOURMILLEMENT
OD	diamètre extérieur
PCS	CP
PPAR	PPAR
PTCA	ACPT
PTCA	angioplastie transluminale percutanée
P.U.V.A.	thérapie de rayonnement ultraviolet
QALY	Survie ajustée pour la qualité de vie
SCLC	CPPC
SD	écart type
SEIZURES	ATTAQUES
SHORTNESS OF BREATH	manque de souffle
SORE THROAT	MAL DE GORGE
SWAB TEST	PRELEVEMENT ECOUVILLON
SWOLLEN BELLY	VENTRE GONFLE
SWOLLEN JOINTS	INFLAMMATION DES ARTICULATIONS
SWOLLEN LEGS	JAMBES ENFLEES
TACFA	Tachycardie auriculaire complète par fibrillation auriculaire
TB	tuberculose
TIA	AIT
TPP	thrombophlebitis
ULTRASOUND	ULTRASON
VES	ESV
WARNINGS	AVERTISSEMENT
